id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
73282,https://www.airbnb.com/rooms/73282,20250929042214,2025-09-29,previous scrape,"Clean, central, quiet",Arty neighborhood,,https://a0.muscache.com/pictures/481072/abd94c69_original.jpg,377532,https://www.airbnb.com/users/show/377532,Simona,2011-02-04,"Zurich, Switzerland","I am from Italy and have lived in Zurich for a few years now. My favourite destinations are Sicily, Sardinia, the Mediterranean in general, all volcanoes, islands and seasides on this Earth, and great, progressive cities.",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/377532/profile_pic/1381299725/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/377532/profile_pic/1381299725/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Sihlfeld,Kreis 3,47.37167,8.51948,Entire rental unit,Entire home/apt,4,,1 bath,1,,"[""Heating"", ""Elevator"", ""Dryer"", ""Kitchen"", ""Hot tub"", ""Lake access"", ""Essentials"", ""TV with standard cable"", ""Wifi"", ""Washer""]",,1125,1125,1125,1125,1125,1125,1125.0,1125.0,,t,23,53,83,358,2025-09-29,47,0,0,87,0,0,,2012-05-19,2019-04-27,4.78,4.87,4.8,4.84,4.93,4.71,4.61,,f,1,1,0,0,0.29
143821,https://www.airbnb.com/rooms/143821,20250929042214,2025-09-29,city scrape,LOFT on 2 floors in Sihlcity Zürich,"EXPERIENCE AN UNUSAL STAY IN THE MIDDLE OF ZURICH!!<br />- 2.5 rooms on 2 floors (1 bed & 1 living room)<br />- Upper floor: bed room & bath & shower<br />- Lower floor: living room & kitchen <br />- City centre 5 min by public<br />- Airport 20 min by public or car<br />- Gym, cinema, shopping centre, super market, restaurants,  church, libary, all just next to you<br />- Public transport 2 min walk<br />- Highway 500m<br />- Wi-Fi<br />- Digital TV<br />- Hiking area very close",,https://a0.muscache.com/pictures/1012249/a4f3404d_original.jpg,697307,https://www.airbnb.com/users/show/697307,Erhan,2011-06-13,"Zürich, Switzerland","Hello everyone!

i am living in Zurich.

have many hobbies but my favorite one is soccer and i am a big supporter of GALATASARAY istanbul! travelling a lot to istanbul to watch games and also travelling to other places arround europe to follow my team whenever i can. 

also one of my big passion is photography. love to spend my time with my cam together just anywhere in this world :-))

if you wanna book my appartment you can be sure that i ll be here for any support!

I also provide help and assistance if you have any questions about hiking in Switzerland! You can certainly book me as a guide if needed. 
hope to see you soon!
erhan",within an hour,100%,N/A,f,https://a0.muscache.com/im/users/697307/profile_pic/1307991889/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/697307/profile_pic/1307991889/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Alt-Wiedikon,Kreis 3,47.35761,8.52131,Entire loft,Entire home/apt,2,1.5,1.5 baths,1,2,"[""Paid parking on premises"", ""Wine glasses"", ""Central heating"", ""Freezer"", ""TV with standard cable"", ""ZUG stainless steel induction stove"", ""Microwave"", ""Mountain view"", ""Host greets you"", ""Dining table"", ""Elevator"", ""Dryer"", ""Bed linens"", ""Paid parking off premises"", ""Dishwasher"", ""Free washer \u2013 In unit"", ""Body soap"", ""Bathtub"", ""Hot water kettle"", ""Wifi"", ""Long term stays allowed"", ""Conditioner"", ""Shampoo"", ""Smoke alarm"", ""BBQ grill"", ""Private entrance"", ""Books and reading material"", ""Dishes and silverware"", ""Hangers"", ""Private patio or balcony"", ""Essentials"", ""Portable fans"", ""Shower gel"", ""Baking sheet"", ""Refrigerator"", ""Cleaning products"", ""Kitchen"", ""Hot water"", ""Cooking basics"", ""Park view"", ""Hair dryer"", ""Oven"", ""Iron""]",$232.00,3,365,3,3,365,365,3.0,365.0,,t,29,59,89,269,2025-09-29,0,0,0,93,0,0,0,,,,,,,,,,,f,1,1,0,0,
178448,https://www.airbnb.com/rooms/178448,20250929042214,2025-09-29,city scrape,"a lovely place, top location","Very central location, 5 min walk from Bahnhof Enge, 10min walk from the lake.<br />quiet, <br />big rooms of 20m2,","We live in one of the top locations of Zürich, the Hürrlimann Areal where the headquarter of Google Europe is located <br />Its a 5 Minutes walk to Bahnhof Enge, 10 Minutes walk to the Bahnhofstrasse, 10 minutes to the lakeside.",https://a0.muscache.com/pictures/7d41e016-e818-4fe1-9d42-a5d0ae34bdda.jpg,854016,https://www.airbnb.com/users/show/854016,Delphine,2011-07-22,"Zurich, Switzerland","I am a quiet, friendly and caring person
I love Creativity, Painting, Writing, Reading, Music, Dancing, Yoga, Fashion and Decoration
I travel since ever and mostly for my job all over the world",within an hour,100%,0%,f,https://a0.muscache.com/im/users/854016/profile_pic/1311363294/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/854016/profile_pic/1311363294/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,"Zurich, Switzerland",Enge,Kreis 2,47.36514,8.52615,Private room in rental unit,Private room,1,1.0,1 bath,1,1,"[""Heating"", ""Elevator"", ""Dryer"", ""Kitchen"", ""Hangers"", ""Lock on bedroom door"", ""Lake access"", ""Wifi"", ""Hair dryer"", ""Washer"", ""Shampoo""]",$48.00,5,31,5,5,31,31,5.0,31.0,,t,0,0,0,92,2025-09-29,9,0,0,0,0,0,0,2011-08-30,2016-05-10,4.89,4.89,4.89,4.89,4.89,5.0,4.89,,f,1,0,1,0,0.05
227039,https://www.airbnb.com/rooms/227039,20250929042214,2025-09-29,city scrape,*Luxury Penthouse in the heart of trendy Zurich*,"Modern and unique penthouse apartment over three stories. Located in the heart of Zürich West: with art, design, food, culture, shopping & architecture in the center of attention. Spacious,  luxury apartment with large Terrace, whirlpool, bbq, fireplace, gourmet kitchen and much more. Perfect access to public and private transport. Currently renovating main kitchen hence certain limitations (dishwasher & oven are to be found on the rooftop 2nd Kitchen)","Zurich is hip-circuit with the Swiss peacefulness!<br /><br />Zurich-West – From Industrial Quarter to Trendy District<br />The district in the west of Zurich is full of contrasts, boasting an unpolished charm. Where ships were once built and engines bolted together, art, design, food, culture shopping and architecture are now the center of attention. Factories have moved away, leaving their vast expanses of space that creative minds have taken advantage of. The coolest place to live, work, dine, go clubbing in Zurich. This was a former industrial areas that has developed in a hybrid living working cultural space<br /><br />History and national heritage<br />    Historic monument<br />    Fraumunster church : 2.00 km<br />    Grossmunster church : 2.00 km<br />    ZUERICH NATIONAL MUSEUM : 2 km<br /><br />Culture and shows<br />    Cinema (mainstream) : 300  m<br />    RiffRaff (alternative cinema) : 700 m<br />    MAAG MUSIC HALL : 500 m<br />    SCHIFFBAU THEATER : right here <br /> ",https://a0.muscache.com/pictures/c93b46a3-ceb0-4df6-b2c7-50de85702bb4.jpg,1184427,https://www.airbnb.com/users/show/1184427,Lucas,2011-09-20,"Zurich, Switzerland",I'm a Swiss management consultant and enjoy traveling the world as well as hosting guests in my beautiful home when I am abroad for travel or business. ,N/A,N/A,N/A,,https://a0.muscache.com/im/pictures/user/23d284a1-b4ac-4e64-b894-9d4d2a50af66.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/23d284a1-b4ac-4e64-b894-9d4d2a50af66.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'work_email']",t,t,"Zurich, Canton of Zurich, Switzerland",Escher Wyss,Kreis 5,47.38942,8.51881,Entire loft,Entire home/apt,3,1.5,1.5 baths,2,1,"[""Mini fridge"", ""Sun loungers"", ""Coffee maker: espresso machine, Nespresso"", ""EV charger"", ""Courtyard view"", ""Private entrance"", ""Paid street parking off premises"", ""Essentials"", ""Carbon monoxide alarm"", ""Indoor fireplace: wood-burning"", ""Fast wifi \u2013 409 Mbps"", ""Cleaning products"", ""Kitchen"", ""Hot water"", ""City skyline view"", ""Cooking basics"", ""Private outdoor kitchen"", ""Central air conditioning"", ""Iron"", ""Outdoor furniture"", ""Wine glasses"", ""Shared gym nearby"", ""Elevator"", ""Outdoor playground"", ""Dishwasher"", ""Body soap"", ""Lockbox"", ""Paid parking garage on premises \u2013 25 spaces"", ""55 inch HDTV with Apple TV, Chromecast, Netflix, standard cable"", ""Free parking garage on premises \u2013 1 space"", ""Books and reading material"", ""Outdoor shower"", ""Dishes and silverware"", ""Private patio or balcony"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Drying rack for clothing"", ""Free street parking"", ""Bidet"", ""Breakfast"", ""Central heating"", ""Toaster"", ""Pets allowed"", ""Mountain view"", ""Miele stainless steel single oven"", ""First aid kit"", ""Dining table"", ""Miele refrigerator"", ""Bora induction stove"", ""Private BBQ grill: electric"", ""Cleaning available during stay"", ""Fireplace guards"", ""Shared beach access"", ""Rice maker"", ""Barbecue utensils"", ""Hot water kettle"", ""Shampoo"", ""Smoke alarm"", ""Coffee"", ""Hangers"", ""Self check-in"", ""Blender"", ""Portable fans"", ""Dedicated workspace"", ""Outdoor dining area"", ""Park view"", ""Fire extinguisher"", ""Sonos Bluetooth sound system"", ""Ethernet connection"", ""Board games"", ""Freezer"", ""Free dryer \u2013 In unit"", ""Smoking allowed"", ""Private hot tub - available all year, open 24 hours"", ""Bed linens"", ""Free washer \u2013 In unit"", ""Shared indoor pool - available all year, open specific hours, heated"", ""Private backyard \u2013 Fully fenced"", ""Room-darkening shades"", ""Exercise equipment: free weights, yoga mat"", ""Shower gel"", ""Baking sheet"", ""Clothing storage: closet and dresser"", ""Garden view"", ""Hair dryer"", ""Waterfront"", ""Laundromat nearby""]",$501.00,4,10,6,6,10,10,6.0,10.0,,t,0,0,7,280,2025-09-29,31,0,0,9,0,0,0,2011-11-04,2023-08-22,4.97,5.0,4.94,4.97,4.94,4.94,4.84,,f,1,1,0,0,0.18
283737,https://www.airbnb.com/rooms/283737,20250929042214,2025-09-29,city scrape,Best Location in Zurich Oldtown,"The confortable, clean and authentic flat is in the mittle of the old town in Zurich. You can reach all the touristic attractions by feet and there are a lot of nice shops and restaurants arround the flat.","In my opinion the niederdorf is the most beautiful neighborhood in Zurich… the old houses, the nice little shops, the restaurants and bars, the churches, the river, the lake ...",https://a0.muscache.com/pictures/b0b6eedd-d96c-4b7c-9b8d-96a1ef7b6008.jpg,1477771,https://www.airbnb.com/users/show/1477771,Nuria,2011-12-06,"Zurich, Switzerland","I’m a young widow with two very sweet boys. I own a design and art gallery in Zurich. We love to travel as much as possible. 


",within an hour,100%,85%,f,https://a0.muscache.com/im/pictures/user/User-1477771/original/692249c9-ce75-47eb-a23d-0a5cadee3acc.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-1477771/original/692249c9-ce75-47eb-a23d-0a5cadee3acc.jpeg?aki_policy=profile_x_medium,,3,3,"['email', 'phone', 'work_email']",t,t,"Zurich, Switzerland",Rathaus,Kreis 1,47.37372,8.54452,Entire rental unit,Entire home/apt,4,1.0,1 bath,2,2,"[""Heating"", ""Microwave"", ""Pets allowed"", ""Elevator"", ""Dishwasher"", ""Wifi"", ""Long term stays allowed"", ""Shared patio or balcony"", ""Dishes and silverware"", ""Stove"", ""Self check-in"", ""Essentials"", ""Coffee maker"", ""Refrigerator"", ""Keypad"", ""Kitchen"", ""TV"", ""Hot water"", ""Cooking basics"", ""Hair dryer"", ""Oven"", ""Iron""]",$160.00,4,120,4,4,1125,1125,4.0,1125.0,,t,12,12,13,13,2025-09-29,383,21,1,13,26,168,26880,2012-01-23,2025-09-08,4.48,4.44,4.54,4.71,4.74,4.93,4.42,,f,3,3,0,0,2.30
292351,https://www.airbnb.com/rooms/292351,20250929042214,2025-09-29,previous scrape,120 sqM - 3 bedrooms + lounge in central Zurich,"The condominium  is 10 minutes from Central Zurich, <br />The building is new, completed in June 2017. This apartment is on the 3rd floor, overlooking the Crowne Plaza Hotel. <br />Trams and buses are 2 minutes walk away (Albisriederplatz).<br />There are 3 bedrooms:<br />It possible for a maximum of 10 people to sleep there. <br />Suitable for parents,  children, and grandparents. There is no TV and no sofa in the lounge.<br />There are mattresses on the floor in every bedroom.","Zurich Albisriederplatz is 1 minute walk<br />Trams and buses 10 mins to Central Zurich<br />Letzipark shopping centre, and Letzigrund are within walking distance.",https://a0.muscache.com/pictures/7c69cf7a-64ef-48ba-96ed-aba57f059163.jpg,1513739,https://www.airbnb.com/users/show/1513739,Anil,2011-12-17,"Zurich, Switzerland","I was born in India, lived for many years in London and Tokyo.., 
and lived in Zurich for a few years.
",N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/87c24f0f-d8d5-4469-a291-f8dcc80ea5e8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/87c24f0f-d8d5-4469-a291-f8dcc80ea5e8.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Zürich, Switzerland",Hard,Kreis 4,47.38066,8.50657,Entire condo,Entire home/apt,8,,2.5 baths,3,,"[""Heating"", ""Microwave"", ""Single level home"", ""Elevator"", ""Dryer"", ""Bed linens"", ""Paid parking off premises"", ""Free parking on premises"", ""Bathtub"", ""Wifi"", ""Children\u2019s dinnerware"", ""Smoke alarm"", ""Private entrance"", ""Dishes and silverware"", ""Self check-in"", ""Room-darkening shades"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Keypad"", ""Patio or balcony"", ""Kitchen"", ""Hot water"", ""Gym nearby"", ""Cooking basics"", ""Hair dryer"", ""Washer"", ""Oven"", ""Children\u2019s books and toys"", ""Fire extinguisher""]",,5,1125,5,5,1125,1125,5.0,1125.0,,t,0,0,0,0,2025-09-29,11,0,0,0,1,0,,2018-01-04,2024-08-11,4.64,4.73,4.64,4.73,5.0,4.82,4.27,,t,1,1,0,0,0.12
310964,https://www.airbnb.com/rooms/310964,20250929042214,2025-09-29,city scrape,Large Apartment - Center of Zurich,,Many theaters and museums as well as dozins of Restaurants within walking distance.,https://a0.muscache.com/pictures/3304245/14d3fae6_original.jpg,1266114,https://www.airbnb.com/users/show/1266114,Kim,2011-10-09,"Zurich, Switzerland","I live with my lovely 10 year old daughter and wife, who is a yoga teacher. I work with start-up companies and currently I am building up the interpreting technology company Interprefy. As we live in the center of Zurich, we don’t have a car, but we handle all our transportation needs with bicycles, car-sharing or public transportation, which is excellent here in Switzerland.",N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/c5f79a87-9e38-4344-ac69-000ba90aa1b7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c5f79a87-9e38-4344-ac69-000ba90aa1b7.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Zurich, Switzerland",Hochschulen,Kreis 1,47.36713,8.54868,Entire rental unit,Entire home/apt,6,2.0,2 baths,3,2,"[""Heating"", ""Elevator"", ""Ethernet connection"", ""Luggage dropoff allowed"", ""Dryer"", ""Bed linens"", ""Kitchen"", ""Hangers"", ""Paid parking off premises"", ""Hot water"", ""Free parking on premises"", ""Lake access"", ""Essentials"", ""TV with standard cable"", ""Wifi"", ""Washer"", ""Extra pillows and blankets"", ""Children\u2019s books and toys""]",$360.00,7,14,7,7,14,14,7.0,14.0,,t,0,0,0,28,2025-09-29,13,0,0,0,0,0,0,2012-07-25,2019-01-06,4.92,4.92,4.77,5.0,4.92,4.85,4.85,,f,1,1,0,0,0.08
577683,https://www.airbnb.com/rooms/577683,20250929042214,2025-09-29,city scrape,Garden Apartment in Zurich West with private Gym,"Welcome to our modern garden flat with a gym in Zurich! Ideal for up to 4 guests, it features a spacious living room, kitchen, bedroom, bathroom, 2 WCs, a guest shower, and a lovely garden. Located in a quiet area, it’s just 7 minutes from the city and 15 minutes by bus from the old town. Restaurants, shops, and the Limmat River are nearby. We look forward to your visit!","very central but never the less quite neighborhood: 4 grocery stores, a bakery, several banks, a post office, a wine store and different restaurants public swimming pool (25m). A local recreation area (forest, jogging/bike area) is just around the corner.",https://a0.muscache.com/pictures/6f60a0e6-38dd-47cb-8607-d872917bfcc1.jpg,1240329,https://www.airbnb.com/users/show/1240329,Claudio,2011-10-03,"Zürich, Switzerland","Italian Swiss living in Zurich
Thinks I love:
- travelling around the world
- cycling
- good food
- good wine
- beeing with friends",within an hour,100%,0%,f,https://a0.muscache.com/im/pictures/user/d656c0ff-8d61-4f95-8cd1-e7987d40b338.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d656c0ff-8d61-4f95-8cd1-e7987d40b338.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone', 'work_email']",t,t,"Zurich, Canton of Zurich, Switzerland",Höngg,Kreis 10,47.4049,8.49555,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,1,3,"[""Game console: PS4"", ""Outdoor furniture"", ""V ZUg induction stove"", ""Ethernet connection"", ""Sun loungers"", ""Board games"", ""V-Zug stainless steel oven"", ""Wine glasses"", ""Breakfast"", ""Free dryer \u2013 In building"", ""Central heating"", ""Toaster"", ""Beach essentials"", ""Microwave"", ""Pets allowed"", ""Fire pit"", ""Single level home"", ""Host greets you"", ""Air conditioning"", ""Dining table"", ""Elevator"", ""Bed linens"", ""Clothing storage: closet and wardrobe"", ""Outdoor playground"", ""Dishwasher"", ""Cleaning available during stay"", ""55 inch HDTV with Apple TV, Disney+, Netflix"", ""Body soap"", ""Paid parking garage off premises"", ""Rice maker"", ""BBQ grill: electric"", ""Bathtub"", ""Hot water kettle"", ""Barbecue utensils"", ""Long term stays allowed"", ""Conditioner"", ""Shampoo"", ""Sonos sound system"", ""Free parking on premises \u2013 1 space"", ""Books and reading material"", ""Dishes and silverware"", ""Hangers"", ""Private patio or balcony"", ""Room-darkening shades"", ""Blender"", ""Free washer \u2013 In building"", ""Essentials"", ""Exercise equipment: elliptical, free weights, yoga mat, workout bench"", ""Portable fans"", ""Bikes"", ""Shower gel"", ""Baking sheet"", ""Theme room"", ""Refrigerator"", ""Private gym in building"", ""Hammock"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Cleaning products"", ""Drying rack for clothing"", ""Kitchen"", ""Fast wifi \u2013 375 Mbps"", ""Private backyard \u2013 Not fully fenced"", ""Hot water"", ""Coffee maker: Nespresso"", ""Outdoor dining area"", ""Free street parking"", ""Cooking basics"", ""Garden view"", ""Hair dryer"", ""Iron""]",$238.00,5,30,7,10,30,30,9.6,30.0,,t,12,24,37,232,2025-09-29,7,0,0,41,0,0,0,2012-11-25,2021-07-03,5.0,5.0,5.0,5.0,4.86,5.0,4.86,,f,1,1,0,0,0.04
610348,https://www.airbnb.com/rooms/610348,20250929042214,2025-09-29,city scrape,"Duplex  Flat, 120 m2 7-8  persons","Big and cosy flat on 2 levels, for 4 - 7 guests, all furnished. The flat is situated in a safe and quiet aera in Zurich, near restaurants and shops and not far from forest and nature. To the centre it takes 20 min by tram.","Quiet, safe area, near nature (to walk or bike) but shops are nearby.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjEwMzQ4/original/48c0f821-cc3c-4c5c-a290-5429cf77d5fc.jpeg,3026473,https://www.airbnb.com/users/show/3026473,Leandra,2012-07-23,"Rekingen, Switzerland","We are a mother daughters team based here in Zurich and Rekingen. Both locally based to each apartment, we enjoy meeting the guests, ensuring their needs are met and helping them as much as we can. We hope that our apartments provides you not only with the perfect launching pad to explore but a home away from home where you can relax in comfort.

As we both love travelling and meeting people from around the world we look forward meeting you.

WELCOME!",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/d410dd8a-1a5f-45b2-95b0-e7aa3e9ab1f1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d410dd8a-1a5f-45b2-95b0-e7aa3e9ab1f1.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone']",t,t,"Zurich, Canton of Zurich, Switzerland",Oerlikon,Kreis 11,47.40703,8.55232,Entire rental unit,Entire home/apt,7,2.0,2 baths,4,5,"[""Heating"", ""Outdoor furniture"", ""Wine glasses"", ""EV charger"", ""Crib"", ""Freezer"", ""Toaster"", ""Microwave"", ""Pets allowed"", ""Clothing storage: wardrobe"", ""Children\u2019s books and toys"", ""40 inch HDTV with standard cable"", ""Dryer"", ""Bed linens"", ""Dishwasher"", ""Free parking on premises"", ""Body soap"", ""Lockbox"", ""Hot water kettle"", ""Wifi"", ""Long term stays allowed"", ""Shampoo"", ""Smoke alarm"", ""Baby safety gates"", ""Private entrance"", ""Books and reading material"", ""Dishes and silverware"", ""Hangers"", ""Stove"", ""Private patio or balcony"", ""Self check-in"", ""Room-darkening shades"", ""High chair"", ""Free washer \u2013 In building"", ""Essentials"", ""Portable fans"", ""Shower gel"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Baking sheet"", ""Refrigerator"", ""Indoor fireplace: wood-burning"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Kitchen"", ""Outdoor dining area"", ""Hot water"", ""Cooking basics"", ""Garden view"", ""Hair dryer"", ""Oven"", ""Iron""]",$227.00,5,1125,5,5,1125,1125,5.0,1125.0,,t,13,43,58,311,2025-09-29,162,15,1,59,16,150,34050,2012-09-17,2025-09-05,4.75,4.84,4.88,4.92,4.91,4.79,4.63,,f,2,2,0,0,1.02
620130,https://www.airbnb.com/rooms/620130,20250929042214,2025-09-29,city scrape,NB1: Charming 2-room apartment,,,https://a0.muscache.com/pictures/f912367d-cb8b-4928-883c-1b64cdda6f7b.jpg,3072679,https://www.airbnb.com/users/show/3072679,Felix,2012-07-27,"Zurich, Switzerland","Es freut mich, schöne Apartments im Zentrum von Zürich zu vermieten. Wir freuen uns auf Deinen Aufenthalt!",a few days or more,0%,0%,f,https://a0.muscache.com/im/users/3072679/profile_pic/1384192385/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3072679/profile_pic/1384192385/original.jpg?aki_policy=profile_x_medium,,5,5,"['email', 'phone']",t,t,,Wipkingen,Kreis 10,47.39278,8.53,Entire rental unit,Entire home/apt,4,1.0,1 bath,1,2,"[""Heating"", ""Dryer"", ""Bed linens"", ""Kitchen"", ""Hangers"", ""Dishes and silverware"", ""Backyard"", ""Hot water"", ""Cooking basics"", ""Essentials"", ""TV with standard cable"", ""Wifi"", ""Hair dryer"", ""Washer"", ""Coffee maker"", ""Pets allowed"", ""Refrigerator""]",$185.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,22,52,82,357,2025-09-29,25,0,0,86,0,0,0,2016-05-01,2020-02-08,4.84,4.92,4.88,5.0,4.92,4.96,4.72,,f,5,5,0,0,0.22
