"StichtagDatJahr","DatenstandCd","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","EigentuemerSSZPubl1Sort","EigentuemerSSZPubl1Cd","EigentuemerSSZPubl1Lang","AnzZimmerLevel2Sort_noDM","AnzZimmerLevel2Cd_noDM","AnzZimmerLevel2Lang_noDM","AnzWhgStat"
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",1,"1","Öffentliche Hand",1,"1","1-Zimmer",119
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",1,"1","Öffentliche Hand",2,"2","2-Zimmer",193
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",1,"1","Öffentliche Hand",3,"3","3-Zimmer",152
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",1,"1","Öffentliche Hand",4,"4","4-Zimmer",68
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",1,"1","Öffentliche Hand",5,"5","5-Zimmer",29
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",1,"1","Öffentliche Hand",6,"6","6-Zimmer und mehr",5
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",1,"1","1-Zimmer",187
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",2,"2","2-Zimmer",113
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",3,"3","3-Zimmer",74
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",4,"4","4-Zimmer",54
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",5,"5","5-Zimmer",18
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",6,"6","6-Zimmer und mehr",15
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",4,"4","Natürliche Personen",1,"1","1-Zimmer",289
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",4,"4","Natürliche Personen",2,"2","2-Zimmer",352
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",4,"4","Natürliche Personen",3,"3","3-Zimmer",226
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",4,"4","Natürliche Personen",4,"4","4-Zimmer",127
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",4,"4","Natürliche Personen",5,"5","5-Zimmer",37
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",4,"4","Natürliche Personen",6,"6","6-Zimmer und mehr",33
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",1,"1","1-Zimmer",49
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",2,"2","2-Zimmer",53
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",3,"3","3-Zimmer",61
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",4,"4","4-Zimmer",32
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",5,"5","5-Zimmer",6
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",6,"6","6-Zimmer und mehr",4
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",1,"1","Öffentliche Hand",1,"1","1-Zimmer",1
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",1,"1","Öffentliche Hand",2,"2","2-Zimmer",3
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",1,"1","Öffentliche Hand",3,"3","3-Zimmer",14
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",1,"1","Öffentliche Hand",4,"4","4-Zimmer",25
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",1,"1","Öffentliche Hand",5,"5","5-Zimmer",8
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",1,"1","Öffentliche Hand",6,"6","6-Zimmer und mehr",3
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",1,"1","1-Zimmer",24
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",2,"2","2-Zimmer",12
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",3,"3","3-Zimmer",14
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",4,"4","4-Zimmer",13
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",5,"5","5-Zimmer",14
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",6,"6","6-Zimmer und mehr",10
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",4,"4","Natürliche Personen",1,"1","1-Zimmer",60
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",4,"4","Natürliche Personen",2,"2","2-Zimmer",22
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",4,"4","Natürliche Personen",3,"3","3-Zimmer",23
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",4,"4","Natürliche Personen",4,"4","4-Zimmer",18
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",4,"4","Natürliche Personen",5,"5","5-Zimmer",12
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",4,"4","Natürliche Personen",6,"6","6-Zimmer und mehr",3
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",1,"1","1-Zimmer",7
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",2,"2","2-Zimmer",10
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",3,"3","3-Zimmer",11
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",4,"4","4-Zimmer",11
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",5,"5","5-Zimmer",7
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",6,"6","6-Zimmer und mehr",8
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",1,"1","Öffentliche Hand",1,"1","1-Zimmer",24
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",1,"1","Öffentliche Hand",2,"2","2-Zimmer",58
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",1,"1","Öffentliche Hand",3,"3","3-Zimmer",34
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",1,"1","Öffentliche Hand",4,"4","4-Zimmer",17
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",1,"1","Öffentliche Hand",5,"5","5-Zimmer",5
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",1,"1","Öffentliche Hand",6,"6","6-Zimmer und mehr",0
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",1,"1","1-Zimmer",25
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",2,"2","2-Zimmer",74
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",3,"3","3-Zimmer",53
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",4,"4","4-Zimmer",23
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",5,"5","5-Zimmer",12
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",6,"6","6-Zimmer und mehr",5
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",4,"4","Natürliche Personen",1,"1","1-Zimmer",83
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",4,"4","Natürliche Personen",2,"2","2-Zimmer",129
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",4,"4","Natürliche Personen",3,"3","3-Zimmer",79
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",4,"4","Natürliche Personen",4,"4","4-Zimmer",58
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",4,"4","Natürliche Personen",5,"5","5-Zimmer",24
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",4,"4","Natürliche Personen",6,"6","6-Zimmer und mehr",7
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",1,"1","1-Zimmer",17
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",2,"2","2-Zimmer",40
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",3,"3","3-Zimmer",17
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",4,"4","4-Zimmer",16
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",5,"5","5-Zimmer",7
2010,"D",13,"013","Lindenhof",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",6,"6","6-Zimmer und mehr",3
2010,"D",14,"014","City",1,"1","Kreis 1",1,"1","Öffentliche Hand",1,"1","1-Zimmer",1
2010,"D",14,"014","City",1,"1","Kreis 1",1,"1","Öffentliche Hand",2,"2","2-Zimmer",17
2010,"D",14,"014","City",1,"1","Kreis 1",1,"1","Öffentliche Hand",3,"3","3-Zimmer",18
2010,"D",14,"014","City",1,"1","Kreis 1",1,"1","Öffentliche Hand",4,"4","4-Zimmer",40
2010,"D",14,"014","City",1,"1","Kreis 1",1,"1","Öffentliche Hand",5,"5","5-Zimmer",16
2010,"D",14,"014","City",1,"1","Kreis 1",1,"1","Öffentliche Hand",6,"6","6-Zimmer und mehr",1
2010,"D",14,"014","City",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",1,"1","1-Zimmer",19
2010,"D",14,"014","City",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",2,"2","2-Zimmer",57
2010,"D",14,"014","City",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",3,"3","3-Zimmer",71
2010,"D",14,"014","City",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",4,"4","4-Zimmer",23
2010,"D",14,"014","City",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",5,"5","5-Zimmer",8
2010,"D",14,"014","City",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",6,"6","6-Zimmer und mehr",3
2010,"D",14,"014","City",1,"1","Kreis 1",4,"4","Natürliche Personen",1,"1","1-Zimmer",4
2010,"D",14,"014","City",1,"1","Kreis 1",4,"4","Natürliche Personen",2,"2","2-Zimmer",17
2010,"D",14,"014","City",1,"1","Kreis 1",4,"4","Natürliche Personen",3,"3","3-Zimmer",57
2010,"D",14,"014","City",1,"1","Kreis 1",4,"4","Natürliche Personen",4,"4","4-Zimmer",17
2010,"D",14,"014","City",1,"1","Kreis 1",4,"4","Natürliche Personen",5,"5","5-Zimmer",19
2010,"D",14,"014","City",1,"1","Kreis 1",4,"4","Natürliche Personen",6,"6","6-Zimmer und mehr",10
2010,"D",14,"014","City",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",1,"1","1-Zimmer",0
2010,"D",14,"014","City",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",2,"2","2-Zimmer",7
2010,"D",14,"014","City",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",3,"3","3-Zimmer",7
2010,"D",14,"014","City",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",4,"4","4-Zimmer",13
2010,"D",14,"014","City",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",5,"5","5-Zimmer",6
2010,"D",14,"014","City",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",6,"6","6-Zimmer und mehr",0
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","Öffentliche Hand",1,"1","1-Zimmer",156
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","Öffentliche Hand",2,"2","2-Zimmer",65
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","Öffentliche Hand",3,"3","3-Zimmer",170
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","Öffentliche Hand",4,"4","4-Zimmer",131
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","Öffentliche Hand",5,"5","5-Zimmer",25
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","Öffentliche Hand",6,"6","6-Zimmer und mehr",7
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",1,"1","1-Zimmer",89
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",2,"2","2-Zimmer",460
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",3,"3","3-Zimmer",1013
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",4,"4","4-Zimmer",547
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",5,"5","5-Zimmer",137
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",6,"6","6-Zimmer und mehr",68
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",1,"1","1-Zimmer",191
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",2,"2","2-Zimmer",308
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",3,"3","3-Zimmer",609
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",4,"4","4-Zimmer",385
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",5,"5","5-Zimmer",106
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",6,"6","6-Zimmer und mehr",31
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","Natürliche Personen",1,"1","1-Zimmer",353
